                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5063,                 3.2136,                  2.555,                0.58508,                   0.75,                0.58974,                0.10179,                 1.5873,                 4.4365,                 1.7992,               0.096004,                  4e-06,                  4e-06
                      2,                 2.4924,                 3.3483,                 2.5523,                0.58388,                   0.75,                0.60938,                0.10489,                 1.6157,                 4.1355,                 1.8519,               0.091009,             8.9406e-06,             8.9406e-06
                      3,                 2.3284,                 3.0906,                 2.3392,                0.71342,                0.62273,                0.56595,                0.09607,                 1.5708,                 3.7394,                 1.7804,               0.086014,             1.3815e-05,             1.3815e-05
                      4,                 2.4711,                 2.9427,                 2.5397,                0.60745,                    0.5,                0.48243,                 0.1023,                 1.5356,                 3.5224,                 1.7453,               0.081019,             1.8624e-05,             1.8624e-05
                      5,                 2.3849,                 2.6553,                 2.3571,                0.44261,                    0.5,                0.45847,                0.10831,                 1.4537,                 3.4142,                   1.65,               0.076023,             2.3366e-05,             2.3366e-05
                      6,                 2.2806,                  2.815,                 2.3024,                0.36303,                  0.625,                0.44823,                0.11021,                 1.4097,                 3.3466,                 1.5921,               0.071028,             2.8043e-05,             2.8043e-05
                      7,                 2.2499,                 2.6459,                 2.2985,                0.44851,                  0.375,                0.32555,                 0.0883,                 1.3529,                 3.2067,                 1.5379,               0.066033,             3.2654e-05,             3.2654e-05
                      8,                 2.1894,                 2.4585,                 2.1206,                0.55133,                  0.375,                0.36511,                0.10441,                 1.2706,                 3.1686,                  1.456,               0.061037,             3.7198e-05,             3.7198e-05
                      9,                 1.9317,                 2.6181,                 1.9295,                0.59601,                0.37001,                0.40602,                0.14726,                 1.1648,                 3.0491,                 1.3684,               0.056042,             4.1677e-05,             4.1677e-05
                     10,                 1.9056,                 2.4307,                 1.9332,                0.34564,                   0.75,                0.42862,                 0.1702,                 1.1141,                 2.8804,                 1.3319,               0.051046,             4.6089e-05,             4.6089e-05
                     11,                 1.7653,                 2.3512,                 1.7391,                0.40525,                  0.625,                0.45571,                0.19633,                 1.1015,                 2.7243,                 1.3222,                0.04605,             5.0436e-05,             5.0436e-05
                     12,                 1.7471,                  2.413,                 1.7471,                0.48818,                  0.625,                0.48136,                0.22104,                 1.1048,                 2.5144,                 1.3119,               0.041055,             5.4717e-05,             5.4717e-05
                     13,                 1.6965,                 2.2847,                  1.665,                0.52047,                  0.625,                0.48601,                0.25333,                 1.0631,                 2.5006,                 1.3001,               0.036059,             5.8931e-05,             5.8931e-05
                     14,                  1.523,                 2.2083,                 1.5687,                0.53011,                0.70781,                0.48966,                0.27429,                 1.0573,                 2.2547,                 1.2952,               0.031063,              6.308e-05,              6.308e-05
                     15,                 1.5987,                 2.1587,                 1.5841,                0.52776,                   0.75,                0.50095,                0.28351,                 1.0743,                 2.0263,                 1.2873,               0.026067,             6.7162e-05,             6.7162e-05
                     16,                  1.449,                 2.0184,                 1.4664,                 0.5085,                   0.75,                0.55266,                0.31773,                 1.0682,                 1.9544,                 1.2827,               0.021071,             7.1179e-05,             7.1179e-05
                     17,                 1.4235,                 1.9026,                 1.4293,                 0.4446,                  0.875,                0.66203,                0.42343,                 1.0429,                 1.8456,                 1.2756,               0.016075,              7.513e-05,              7.513e-05
                     18,                 1.3475,                  1.852,                 1.4308,                0.66637,                   0.75,                0.77667,                0.46244,                 1.0517,                 1.7799,                 1.2733,               0.011079,             7.9014e-05,             7.9014e-05
                     19,                 1.3194,                  1.745,                 1.3399,                0.85381,                0.73248,                0.81277,                0.49407,                  1.047,                 1.7245,                  1.268,              0.0060828,             8.2833e-05,             8.2833e-05
                     20,                 1.2801,                 1.7307,                 1.3872,                0.87394,                0.86758,                 0.9176,                0.53415,                 1.0313,                 1.6268,                 1.2553,              0.0010866,             8.6585e-05,             8.6585e-05
                     21,                 1.2705,                  1.628,                 1.3187,                0.82848,                  0.875,                 0.9176,                0.54988,                 1.0128,                 1.5835,                 1.2481,               8.68e-05,               8.68e-05,               8.68e-05
                     22,                 1.2549,                 1.5321,                 1.3028,                0.86847,                  0.875,                0.96227,                 0.6026,                0.99173,                 1.5603,                 1.2397,               8.68e-05,               8.68e-05,               8.68e-05
                     23,                 1.1745,                 1.4439,                 1.2706,                0.87825,                0.90427,                0.98167,                0.60102,                0.97253,                 1.5359,                 1.2298,              8.614e-05,              8.614e-05,              8.614e-05
                     24,                 1.2142,                 1.4239,                 1.2928,                0.88304,                0.94734,                0.96722,                0.64175,                0.95612,                 1.4597,                 1.2204,              8.548e-05,              8.548e-05,              8.548e-05
